sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
56,False,1,1.130957,0.760983,0.549399,-0.581558,0.477187,0.527381,0.253240,-0.223947,0.186501,0.120752,1712
57,False,1,0.957530,0.855072,0.777762,-0.179768,0.489478,0.457859,0.322713,-0.166765,0.240304,0.134513,695
58,False,1,0.899180,0.961471,0.896724,-0.002456,0.285614,0.660664,0.512194,0.226580,0.397455,0.247135,1566
59,False,1,1.200732,0.874446,1.097519,-0.103213,0.771045,0.501034,0.687062,-0.083983,0.581323,0.360127,2020
60,False,1,0.946814,0.831185,0.780473,-0.166341,0.599504,0.473673,0.278625,-0.320879,0.263571,0.160497,1908
61,True,1,1.046307,0.934574,1.018847,-0.027460,0.562346,0.577598,0.382524,-0.179822,0.646645,0.414776,369
62,False,1,0.994016,0.780896,0.567014,-0.427001,0.345228,0.449356,0.422500,0.077273,0.487462,0.293745,1562
63,False,1,1.044720,0.745659,0.793609,-0.251111,0.306336,0.431803,0.344882,0.038546,0.270810,0.171405,1336
64,False,1,1.119427,0.829675,1.055865,-0.063562,0.609880,0.527156,0.843413,0.233533,0.375050,0.229662,2644
65,True,1,0.985023,0.838615,0.474190,-0.510834,0.679466,0.516087,0.175239,-0.504227,0.409190,0.253248,345
66,True,1,1.484958,0.775641,0.642715,-0.842244,0.847890,0.443982,0.271951,-0.575939,0.443589,0.250233,240
67,False,1,0.821789,0.891524,1.133895,0.312106,0.331960,0.553840,0.437789,0.105829,0.807654,0.485208,813
68,True,1,1.356573,0.826523,0.694027,-0.662546,0.528061,0.454422,0.267285,-0.260776,0.501529,0.274461,217
69,True,1,1.568446,0.864218,0.600691,-0.967755,0.915633,0.512807,0.268222,-0.647411,0.266524,0.160646,646
70,False,1,2.069114,0.770113,0.424685,-1.644429,1.091708,0.446029,0.199046,-0.892662,0.313304,0.178810,426
71,False,1,1.007190,0.729320,0.796417,-0.210773,0.900758,0.431419,0.461975,-0.438783,0.329513,0.204961,1803
72,True,1,0.715355,0.705678,0.577884,-0.137471,0.276857,0.405413,0.268724,-0.008133,0.298313,0.168515,546
73,False,1,1.485035,0.628200,0.292455,-1.192580,1.200800,0.370306,0.102658,-1.098142,0.434313,0.257177,335
74,True,1,0.782599,0.970089,0.628131,-0.154469,0.340448,0.616352,0.296418,-0.044030,0.450859,0.286579,322
75,True,1,1.015506,0.583754,0.456794,-0.558711,0.772233,0.340060,0.392517,-0.379715,0.362750,0.213071,282
76,True,1,1.557631,0.579016,0.525855,-1.031776,0.745049,0.333752,0.263595,-0.481454,0.423502,0.239126,322
