sample_id,block_idx,is_correct,before_entropy,conf_entropy,after_entropy,delta_entropy,before_surprisal,conf_surprisal,after_surprisal,delta_surprisal,conf_length_tokens
0,0,True,0.3706378936767578,0.4269956648349762,0.3655775189399719,-0.005060374736785889,0.9838947057723999,0.7173603773117065,0.2582419514656067,-0.7256527543067932,7
1,0,True,0.2969796657562256,0.427796870470047,0.37149685621261597,0.07451719045639038,0.6990721821784973,0.7701817154884338,0.2620881497859955,-0.43698403239250183,7
2,0,True,0.5061377882957458,0.42439937591552734,0.3653451204299927,-0.14079266786575317,0.8688693046569824,0.7525180578231812,0.2624760866165161,-0.6063932180404663,7
3,0,True,0.3508492112159729,0.5344685912132263,0.35618969798088074,0.005340486764907837,0.6447446942329407,0.7422379851341248,0.2517077922821045,-0.3930369019508362,7
4,0,True,0.344367653131485,0.4228629469871521,0.356376588344574,0.01200893521308899,0.6652836203575134,0.7334022521972656,0.23584192991256714,-0.4294416904449463,7
5,0,True,0.33483028411865234,0.4239468574523926,0.3673391342163086,0.03250885009765625,0.6765186190605164,0.7529296278953552,0.23657329380512238,-0.4399453401565552,7
6,0,True,0.5163652300834656,0.4227260649204254,0.3721045255661011,-0.1442607045173645,0.5218687653541565,0.7786054015159607,0.25043487548828125,-0.27143388986587524,7
7,0,True,0.46271631121635437,0.4406755566596985,0.3601468503475189,-0.10256946086883545,0.6239990592002869,0.7027164101600647,0.2444855272769928,-0.37951353192329407,7
8,0,True,0.44527849555015564,0.4316307604312897,0.36920833587646484,-0.0760701596736908,0.6809547543525696,0.7042809724807739,0.2638564109802246,-0.41709834337234497,7
9,0,True,0.35992732644081116,0.4338809549808502,0.36657774448394775,0.006650418043136597,0.608558177947998,0.7248796224594116,0.27640873193740845,-0.3321494460105896,7
10,0,True,0.3677124083042145,0.45497554540634155,0.3690597414970398,0.0013473331928253174,0.6184778809547424,0.7113999128341675,0.2575627565383911,-0.3609151244163513,7
11,0,False,0.4148469567298889,0.42741554975509644,0.3726203441619873,-0.04222661256790161,0.6197700500488281,0.7840171456336975,0.2450459897518158,-0.37472406029701233,7
12,0,True,0.5097332000732422,0.42947277426719666,0.36901164054870605,-0.14072155952453613,1.2610543966293335,0.7436241507530212,0.2608353793621063,-1.0002189874649048,7
13,0,True,0.4000438153743744,0.4064371585845947,0.3591803312301636,-0.040863484144210815,0.6912569999694824,0.8375987410545349,0.26467928290367126,-0.42657771706581116,7
14,0,True,0.7398884296417236,0.4392569661140442,0.436214417219162,-0.30367401242256165,0.8713278770446777,0.7085337042808533,0.2274402529001236,-0.6438876390457153,7
15,0,True,0.4466354250907898,0.43739551305770874,0.3806005120277405,-0.06603491306304932,0.7622684836387634,0.768096923828125,0.2546919584274292,-0.5075765252113342,7
16,0,True,0.45063185691833496,0.44434547424316406,0.37514394521713257,-0.07548791170120239,0.6464734077453613,0.605289876461029,0.25188273191452026,-0.39459067583084106,7
17,0,True,0.403770387172699,0.4321465790271759,0.3665999174118042,-0.037170469760894775,0.8621343374252319,0.7395048141479492,0.23542121052742004,-0.6267131567001343,7
18,0,True,0.5192428231239319,0.42845794558525085,0.3597283661365509,-0.15951445698738098,0.7388535141944885,0.7512461543083191,0.21646708250045776,-0.5223864316940308,7
19,0,True,0.4968719184398651,0.4213895797729492,0.3660433888435364,-0.13082852959632874,0.6119311451911926,0.7790597081184387,0.23649288713932037,-0.37543827295303345,7
20,0,True,0.5545179843902588,0.41474899649620056,0.3641931116580963,-0.19032487273216248,0.799035370349884,0.8112984299659729,0.2207666039466858,-0.5782687664031982,7
21,0,True,0.3751828670501709,0.43638283014297485,0.3690594732761383,-0.006123393774032593,0.7291396856307983,0.6772685050964355,0.26833051443099976,-0.4608091711997986,7
22,0,True,0.35654574632644653,0.42425134778022766,0.377983421087265,0.02143767476081848,1.52283775806427,0.7570387721061707,0.27469778060913086,-1.2481399774551392,7
23,0,True,0.663510799407959,0.4132869839668274,0.37520211935043335,-0.28830868005752563,0.8752737045288086,0.8652322888374329,0.26022082567214966,-0.6150528788566589,7
24,0,True,0.4024367928504944,0.4379393756389618,0.3822214603424072,-0.020215332508087158,0.6939202547073364,0.7070325613021851,0.26839807629585266,-0.42552217841148376,7
