sample_id,is_correct,n_conf_blocks,avg_before_entropy,avg_conf_entropy,avg_after_entropy,avg_delta_entropy,completion_tokens,benchmark
0,True,1,0.3706378936767578,0.4269956648349762,0.3655775189399719,-0.005060374736785889,151,gsm8k
1,True,1,0.2969796657562256,0.427796870470047,0.37149685621261597,0.07451719045639038,101,gsm8k
2,True,1,0.5061377882957458,0.42439937591552734,0.3653451204299927,-0.14079266786575317,133,gsm8k
3,True,1,0.3508492112159729,0.5344685912132263,0.35618969798088074,0.005340486764907837,166,gsm8k
4,True,1,0.344367653131485,0.4228629469871521,0.356376588344574,0.01200893521308899,153,gsm8k
5,True,1,0.33483028411865234,0.4239468574523926,0.3673391342163086,0.03250885009765625,145,gsm8k
6,True,1,0.5163652300834656,0.4227260649204254,0.3721045255661011,-0.1442607045173645,285,gsm8k
7,True,1,0.46271631121635437,0.4406755566596985,0.3601468503475189,-0.10256946086883545,343,gsm8k
8,True,1,0.44527849555015564,0.4316307604312897,0.36920833587646484,-0.0760701596736908,176,gsm8k
9,True,1,0.35992732644081116,0.4338809549808502,0.36657774448394775,0.006650418043136597,176,gsm8k
10,True,1,0.3677124083042145,0.45497554540634155,0.3690597414970398,0.0013473331928253174,219,gsm8k
11,False,1,0.4148469567298889,0.42741554975509644,0.3726203441619873,-0.04222661256790161,215,gsm8k
12,True,1,0.5097332000732422,0.42947277426719666,0.36901164054870605,-0.14072155952453613,392,gsm8k
13,True,1,0.4000438153743744,0.4064371585845947,0.3591803312301636,-0.040863484144210815,203,gsm8k
14,True,1,0.7398884296417236,0.4392569661140442,0.436214417219162,-0.30367401242256165,178,gsm8k
15,True,1,0.4466354250907898,0.43739551305770874,0.3806005120277405,-0.06603491306304932,111,gsm8k
16,True,1,0.45063185691833496,0.44434547424316406,0.37514394521713257,-0.07548791170120239,191,gsm8k
17,True,1,0.403770387172699,0.4321465790271759,0.3665999174118042,-0.037170469760894775,173,gsm8k
18,True,1,0.5192428231239319,0.42845794558525085,0.3597283661365509,-0.15951445698738098,313,gsm8k
19,True,1,0.4968719184398651,0.4213895797729492,0.3660433888435364,-0.13082852959632874,315,gsm8k
20,True,1,0.5545179843902588,0.41474899649620056,0.3641931116580963,-0.19032487273216248,212,gsm8k
21,True,1,0.3751828670501709,0.43638283014297485,0.3690594732761383,-0.006123393774032593,120,gsm8k
22,True,1,0.35654574632644653,0.42425134778022766,0.377983421087265,0.02143767476081848,129,gsm8k
23,True,1,0.663510799407959,0.4132869839668274,0.37520211935043335,-0.28830868005752563,203,gsm8k
24,True,1,0.4024367928504944,0.4379393756389618,0.3822214603424072,-0.020215332508087158,198,gsm8k
25,True,1,0.3709447383880615,0.43560919165611267,0.36945849657058716,-0.0014862418174743652,233,gsm8k
26,True,1,0.3234021067619324,0.42706090211868286,0.3750911355018616,0.0516890287399292,143,gsm8k
27,True,1,0.4073532819747925,0.4209950268268585,0.36524543166160583,-0.042107850313186646,172,gsm8k
28,True,1,0.4460775852203369,0.42664092779159546,0.3642042279243469,-0.08187335729598999,226,gsm8k
29,True,1,0.33498242497444153,0.4291399419307709,0.3672769069671631,0.03229448199272156,165,gsm8k
30,True,1,0.3971271514892578,0.4251689314842224,0.4125767946243286,0.0154496431350708,187,gsm8k
31,True,1,0.35033875703811646,0.4229615032672882,0.3659195899963379,0.015580832958221436,115,gsm8k
32,True,1,0.2792249917984009,0.41915789246559143,0.3724633753299713,0.09323838353157043,180,gsm8k
33,True,1,0.36390191316604614,0.4316547214984894,0.376750648021698,0.012848734855651855,139,gsm8k
34,True,1,0.333938330411911,0.42596355080604553,0.36378195881843567,0.029843628406524658,124,gsm8k
35,True,1,0.3351658284664154,0.4240745007991791,0.36709773540496826,0.031931906938552856,205,gsm8k
36,False,1,0.8550522327423096,0.46109458804130554,0.3760856091976166,-0.478966623544693,480,gsm8k
37,True,1,0.3325859308242798,0.4479507505893707,0.36966341733932495,0.037077486515045166,190,gsm8k
38,True,1,0.4276489019393921,0.43540531396865845,0.3580911159515381,-0.069557785987854,262,gsm8k
39,True,1,0.27916190028190613,0.4279738962650299,0.357120156288147,0.07795825600624084,129,gsm8k
40,True,1,0.7763445973396301,0.44107240438461304,0.3728163242340088,-0.40352827310562134,155,gsm8k
41,True,1,0.3594208061695099,0.4476507604122162,0.37265467643737793,0.013233870267868042,120,gsm8k
42,True,1,0.47669535875320435,0.43847158551216125,0.38151150941848755,-0.0951838493347168,337,gsm8k
43,True,1,0.33392462134361267,0.4342925250530243,0.38060426712036133,0.04667964577674866,200,gsm8k
44,True,1,0.42904341220855713,0.4343908131122589,0.3643415868282318,-0.06470182538032532,176,gsm8k
45,True,1,0.4076980948448181,0.425420343875885,0.35698217153549194,-0.05071592330932617,240,gsm8k
46,True,1,0.3574603796005249,0.42160725593566895,0.36274832487106323,0.00528794527053833,257,gsm8k
47,True,1,0.4137982428073883,0.4206441342830658,0.3826327919960022,-0.03116545081138611,112,gsm8k
48,True,1,0.31466472148895264,0.4260103404521942,0.3718624711036682,0.057197749614715576,141,gsm8k
49,True,1,0.4804671108722687,0.42672422528266907,0.36383056640625,-0.11663654446601868,143,gsm8k
50,True,1,0.2710234820842743,0.4244791567325592,0.3620806634426117,0.0910571813583374,133,gsm8k
51,True,1,0.38600876927375793,0.4428694546222687,0.3621380925178528,-0.02387067675590515,176,gsm8k
52,True,1,0.5281846523284912,0.4285163879394531,0.36828893423080444,-0.15989571809768677,247,gsm8k
53,True,1,0.4538213014602661,0.45421791076660156,0.3672177791595459,-0.08660352230072021,170,gsm8k
54,True,1,0.37284260988235474,0.43380123376846313,0.38345393538475037,0.01061132550239563,131,gsm8k
55,True,1,0.5071185827255249,0.42507410049438477,0.3726820647716522,-0.13443651795387268,136,gsm8k
56,True,1,0.5885124802589417,0.4435558617115021,0.3786628842353821,-0.20984959602355957,272,gsm8k
57,False,1,0.5463152527809143,0.4225146472454071,0.36552539467811584,-0.18078985810279846,412,gsm8k
58,True,1,0.3777792155742645,0.45774057507514954,0.3808880150318146,0.003108799457550049,111,gsm8k
59,True,1,0.40737292170524597,0.4248974919319153,0.37263262271881104,-0.034740298986434937,150,gsm8k
60,True,1,0.3231862783432007,0.429872989654541,0.3552548289299011,0.03206855058670044,142,gsm8k
61,False,1,1.1765129566192627,0.4336332678794861,0.38669127225875854,-0.7898216843605042,187,gsm8k
62,True,1,0.34412798285484314,0.4353320896625519,0.3611414432525635,0.017013460397720337,217,gsm8k
63,True,1,0.33545976877212524,0.42637649178504944,0.37746500968933105,0.04200524091720581,139,gsm8k
64,True,1,0.3248266577720642,0.421530544757843,0.3667118549346924,0.041885197162628174,169,gsm8k
65,True,1,0.3480594754219055,0.4371144771575928,0.36018550395965576,0.012126028537750244,144,gsm8k
66,True,1,0.372713565826416,0.4579901099205017,0.3659300208091736,-0.006783545017242432,179,gsm8k
