sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
51,True,1,0.052278,0.000310,0.002900,-0.049377,0.014958,0.000030,0.000325,-0.014633,0.025129,0.009976,132
52,True,1,0.067705,0.001157,0.004235,-0.063470,0.015091,0.000129,0.000478,-0.014613,0.019289,0.009422,176
53,True,1,0.006552,0.001311,0.001616,-0.004936,0.000479,0.000154,0.000164,-0.000315,0.016549,0.006069,246
54,True,1,0.032295,0.006981,0.001522,-0.030772,0.006701,0.001099,0.000153,-0.006549,0.028399,0.010152,168
55,True,1,0.024876,0.000272,0.003163,-0.021713,0.002283,0.000024,0.000356,-0.001927,0.013117,0.030369,130
56,True,1,0.020230,0.000085,0.002011,-0.018219,0.001674,0.000007,0.000211,-0.001463,0.014037,0.010559,129
57,True,1,0.003889,0.002737,0.001334,-0.002555,0.000278,0.000346,0.000133,-0.000145,0.022613,0.010729,230
58,False,1,0.010516,0.002564,0.007540,-0.002976,0.000803,0.000334,0.000944,0.000141,0.097301,0.062021,453
59,True,1,0.060314,0.003889,0.001981,-0.058333,0.006242,0.000484,0.000217,-0.006025,0.032189,0.010301,110
60,True,1,0.019245,0.004483,0.002555,-0.016691,0.001523,0.000654,0.000292,-0.001231,0.018592,0.014623,149
61,True,1,0.008512,0.004577,0.001251,-0.007261,0.000627,0.000585,0.000129,-0.000498,0.008882,0.016743,138
62,False,1,0.017083,0.002402,0.010169,-0.006913,0.001365,0.000312,0.001448,0.000083,0.076807,0.055419,166
63,True,1,0.019531,0.012954,0.003186,-0.016345,0.001571,0.002311,0.000352,-0.001219,0.031164,0.020162,214
64,True,1,0.016703,0.002005,0.002308,-0.014395,0.001338,0.000231,0.000243,-0.001094,0.032413,0.034360,135
65,True,1,0.006052,0.004583,0.001549,-0.004503,0.000431,0.000666,0.000157,-0.000274,0.030549,0.021631,167
66,True,1,0.016754,0.000962,0.001894,-0.014860,0.001320,0.000105,0.000208,-0.001112,0.023622,0.022826,144
67,True,1,0.024769,0.007893,0.002407,-0.022363,0.004528,0.001149,0.000261,-0.004266,0.007248,0.001392,178
68,True,1,0.031278,0.000358,0.004464,-0.026814,0.002557,0.000036,0.000550,-0.002007,0.015518,0.004821,147
69,True,1,0.017790,0.001054,0.002078,-0.015712,0.001614,0.000116,0.000222,-0.001392,0.018496,0.007370,134
70,False,1,0.074202,0.007728,0.001177,-0.073025,0.018235,0.001201,0.000117,-0.018118,0.026577,0.022328,238
71,True,1,0.017195,0.000660,0.001317,-0.015878,0.001311,0.000066,0.000128,-0.001183,0.014210,0.005906,117
72,True,1,0.027053,0.004527,0.002112,-0.024941,0.002330,0.000583,0.000223,-0.002107,0.012473,0.006420,125
73,True,1,0.040075,0.001925,0.003103,-0.036972,0.006835,0.000254,0.000332,-0.006503,0.059101,0.041668,192
74,True,1,0.054995,0.003286,0.006068,-0.048927,0.010995,0.000416,0.000795,-0.010200,0.013824,0.007602,197
75,True,1,0.013537,0.001404,0.002929,-0.010608,0.001040,0.000164,0.000337,-0.000703,0.025917,0.026637,227
76,True,1,0.020987,0.000149,0.004313,-0.016674,0.001645,0.000012,0.000527,-0.001118,0.034549,0.023536,416
