sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
58,0,True,0.353863,0.240501,0.792429,0.438566,0.072558,0.232437,0.546095,0.473537,167,198,32
59,0,True,0.406886,0.291379,0.799015,0.392130,0.076637,0.216567,0.404880,0.328243,878,911,34
60,0,True,0.453119,0.274460,0.753321,0.300202,0.363548,0.261909,0.386904,0.023356,151,184,34
61,0,True,1.812169,1.191859,1.261783,-0.550386,2.751594,1.295105,1.409849,-1.341745,279,392,114
61,1,True,2.554336,2.484324,2.366194,-0.188141,2.472950,2.502123,1.283762,-1.189189,1755,1919,165
62,0,True,1.807499,1.085404,1.125735,-0.681764,1.249360,1.206412,0.401510,-0.847850,221,328,108
63,0,True,2.418985,1.158192,1.160113,-1.258873,2.312696,1.235356,0.852149,-1.460546,203,313,111
64,0,True,0.585957,0.293360,0.627409,0.041452,0.144471,0.246557,0.334165,0.189694,108,138,31
65,0,True,1.989198,1.107813,0.754431,-1.234767,1.648735,1.176065,0.498212,-1.150523,291,387,97
66,0,True,1.356984,0.737921,0.592265,-0.764718,1.313647,0.658801,0.209978,-1.103668,51,127,77
67,0,True,0.350488,0.220155,0.658246,0.307757,1.116014,0.257134,0.302364,-0.813650,187,219,33
68,0,True,2.557381,1.308825,1.714980,-0.842401,1.858613,1.324078,0.984081,-0.874532,279,397,119
69,0,True,0.331414,0.249822,0.670697,0.339284,0.065689,0.203155,0.436814,0.371125,174,209,36
70,0,True,0.627028,0.262330,0.639294,0.012265,0.291512,0.259913,0.393192,0.101680,194,224,31
71,0,True,1.437320,1.019117,1.115497,-0.321823,6.401529,1.188155,0.581933,-5.819597,168,240,73
72,0,True,1.641472,0.855411,0.807139,-0.834333,1.300682,0.866658,0.448469,-0.852213,89,181,93
73,0,True,1.589155,1.270171,0.932763,-0.656393,1.974614,1.411570,0.468628,-1.505986,308,411,104
73,1,True,2.977133,1.308146,1.562521,-1.414612,2.463242,1.946578,2.111575,-0.351667,3064,3167,104
74,0,True,1.478604,0.652773,0.676320,-0.802284,2.136586,0.717780,0.250957,-1.885629,167,250,84
75,0,True,0.393173,0.296910,0.649454,0.256281,0.087162,0.239831,0.363216,0.276053,142,170,29
76,0,True,1.297842,1.079986,0.985023,-0.312819,7.545947,0.990410,1.076550,-6.469398,132,200,69
77,0,True,1.761023,0.975166,0.780537,-0.980485,1.488833,1.217456,0.370187,-1.118647,181,264,84
78,0,True,0.811636,0.274656,0.657792,-0.153844,0.473323,0.258642,0.443773,-0.029550,221,250,30
79,0,True,0.612067,0.236292,0.672327,0.060260,0.663883,0.211453,0.487706,-0.176177,200,235,36
80,0,True,0.438049,0.204038,0.854655,0.416606,0.081437,0.270417,0.437288,0.355851,200,235,36
81,0,True,0.607329,0.269852,0.798280,0.190951,0.338411,0.261497,0.327309,-0.011102,110,140,31
82,0,True,0.348042,0.233917,0.828316,0.480274,0.066390,0.263326,0.412323,0.345934,156,188,33
