sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
44,True,1,0.297443,0.260928,0.630030,0.332587,0.059270,0.226187,0.380534,0.321264,0.208226,0.203084,138
45,True,1,2.008772,0.721342,0.672839,-1.335934,1.821822,1.081007,0.677862,-1.143960,0.380576,0.587999,434
46,True,1,0.518152,0.874139,1.289039,0.770886,0.105904,1.153672,1.017898,0.911994,0.392440,0.432494,352
47,True,1,1.439910,0.880750,1.276008,-0.163901,1.911187,1.139778,0.826637,-1.084550,0.385001,0.622531,623
48,True,1,1.510870,0.794296,0.982913,-0.527957,1.427194,0.832271,0.508879,-0.918315,0.515176,0.531020,270
49,True,1,1.265475,0.820561,0.890003,-0.375472,1.331545,0.898664,0.586871,-0.744673,0.325766,0.486589,548
50,True,1,0.346300,0.231485,0.900873,0.554574,0.068014,0.235212,0.471091,0.403077,0.262681,0.241769,99
51,True,1,1.557090,1.030852,0.659517,-0.897573,1.297638,1.353813,0.513138,-0.784500,0.718104,0.860642,1138
52,True,1,0.666960,0.605717,0.779601,0.112641,0.437782,0.621509,0.591423,0.153640,0.356759,0.375176,307
53,True,1,2.569244,0.958475,0.736442,-1.832803,3.161422,1.090264,0.970673,-2.190748,0.558252,0.718758,402
54,True,1,0.397825,0.223180,0.702234,0.304409,0.103387,0.218964,0.408681,0.305294,0.243187,0.206772,125
55,True,1,0.655748,0.195020,0.682193,0.026445,0.233885,0.202630,0.298075,0.064190,0.224150,0.150296,123
56,True,1,1.139943,0.950815,0.562151,-0.577792,0.414002,0.766456,0.252987,-0.161016,0.511781,0.433126,257
57,True,1,0.380110,0.208649,0.690030,0.309920,0.184533,0.208567,0.602067,0.417535,0.267206,0.241347,136
58,True,1,0.353863,0.240501,0.792429,0.438566,0.072558,0.232437,0.546095,0.473537,0.247270,0.197060,144
59,True,1,0.406886,0.291379,0.799015,0.392130,0.076637,0.216567,0.404880,0.328243,0.304946,0.225163,120
60,True,1,0.453119,0.274460,0.753321,0.300202,0.363548,0.261909,0.386904,0.023356,0.227836,0.216627,160
61,True,2,2.183252,1.838091,1.813989,-0.369264,2.612272,1.898614,1.346805,-1.265467,1.100904,1.277279,4011
62,True,1,1.807499,1.085404,1.125735,-0.681764,1.249360,1.206412,0.401510,-0.847850,0.757667,0.816717,389
63,True,1,2.418985,1.158192,1.160113,-1.258873,2.312696,1.235356,0.852149,-1.460546,0.576661,0.661377,1092
64,True,1,0.585957,0.293360,0.627409,0.041452,0.144471,0.246557,0.334165,0.189694,0.275225,0.299358,128
