
sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
58,True,1,0.328585,0.269854,0.637222,0.308636,0.075282,0.211104,0.338897,0.263615,0.182147,0.095674,181
59,True,1,0.275354,0.279371,0.636393,0.361039,0.058580,0.230447,0.348531,0.289951,0.211204,0.123117,123
60,True,1,0.275717,0.262238,0.639524,0.363807,0.053381,0.201782,0.341037,0.287656,0.180600,0.090178,145
61,True,1,0.296127,0.268253,0.617820,0.321694,0.057144,0.205897,0.303896,0.246752,0.219795,0.113128,171
62,False,1,0.378285,0.281180,0.624131,0.245846,0.091648,0.234068,0.285975,0.194327,0.419936,0.207416,203
63,True,1,0.284353,0.278851,0.636119,0.351767,0.061324,0.236435,0.339611,0.278287,0.178114,0.100317,199
64,True,1,0.326216,0.262319,0.624828,0.298612,0.073320,0.205477,0.340434,0.267114,0.202234,0.115872,147
65,True,1,0.316175,0.267861,0.633138,0.316963,0.067796,0.207286,0.358039,0.290242,0.195072,0.110393,148
66,True,1,0.309399,0.304550,0.634256,0.324857,0.063426,0.252550,0.325148,0.261722,0.174562,0.100162,159
67,True,1,0.302979,0.279259,0.627324,0.324345,0.060888,0.239422,0.325409,0.264520,0.153110,0.097507,139
68,True,1,0.282856,0.260337,0.633338,0.350482,0.057260,0.200262,0.322997,0.265737,0.148168,0.078289,156
69,True,1,0.377555,0.278688,0.633541,0.255986,0.095460,0.233269,0.350155,0.254695,0.221822,0.131169,132
70,True,1,0.318492,0.262022,0.632934,0.314441,0.072692,0.208537,0.344309,0.271617,0.161572,0.086622,199
71,True,1,0.295614,0.279061,0.626330,0.330716,0.058766,0.232777,0.336738,0.277972,0.189486,0.114568,118
72,True,1,0.286575,0.303539,0.540384,0.253810,0.089479,0.235497,0.313347,0.223868,0.174413,0.107207,121
73,True,1,0.299924,0.268744,0.621023,0.321099,0.055897,0.209666,0.323608,0.267711,0.265696,0.138175,178
74,True,1,0.341243,0.288089,0.635291,0.294048,0.074855,0.232545,0.359123,0.284267,0.155625,0.088006,193
75,True,1,0.254195,0.280717,0.621416,0.367220,0.050318,0.226225,0.337192,0.286874,0.190021,0.104454,176
76,True,1,0.312567,0.279577,0.635578,0.323012,0.070700,0.227786,0.356652,0.285952,0.160086,0.087464,197
77,True,1,0.396477,0.278272,0.621881,0.225404,0.145191,0.228847,0.305801,0.160611,0.164380,0.100594,157
