
sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
59,0,True,0.275354,0.279371,0.636393,0.361039,0.058580,0.230447,0.348531,0.289951,93,125,33
60,0,True,0.275717,0.262238,0.639524,0.363807,0.053381,0.201782,0.341037,0.287656,119,153,35
61,0,True,0.296127,0.268253,0.617820,0.321694,0.057144,0.205897,0.303896,0.246752,166,199,34
62,0,False,0.378285,0.281180,0.624131,0.245846,0.091648,0.234068,0.285975,0.194327,205,237,33
63,0,True,0.284353,0.278851,0.636119,0.351767,0.061324,0.236435,0.339611,0.278287,204,236,33
64,0,True,0.326216,0.262319,0.624828,0.298612,0.073320,0.205477,0.340434,0.267114,174,208,35
65,0,True,0.316175,0.267861,0.633138,0.316963,0.067796,0.207286,0.358039,0.290242,134,167,34
66,0,True,0.309399,0.304550,0.634256,0.324857,0.063426,0.252550,0.325148,0.261722,160,189,30
67,0,True,0.302979,0.279259,0.627324,0.324345,0.060888,0.239422,0.325409,0.264520,129,161,33
68,0,True,0.282856,0.260337,0.633338,0.350482,0.057260,0.200262,0.322997,0.265737,129,163,35
69,0,True,0.377555,0.278688,0.633541,0.255986,0.095460,0.233269,0.350155,0.254695,124,156,33
70,0,True,0.318492,0.262022,0.632934,0.314441,0.072692,0.208537,0.344309,0.271617,184,218,35
71,0,True,0.295614,0.279061,0.626330,0.330716,0.058766,0.232777,0.336738,0.277972,102,134,33
72,0,True,0.286575,0.303539,0.540384,0.253810,0.089479,0.235497,0.313347,0.223868,114,143,30
73,0,True,0.299924,0.268744,0.621023,0.321099,0.055897,0.209666,0.323608,0.267711,158,191,34
74,0,True,0.341243,0.288089,0.635291,0.294048,0.074855,0.232545,0.359123,0.284267,260,291,32
75,0,True,0.254195,0.280717,0.621416,0.367220,0.050318,0.226225,0.337192,0.286874,182,214,33
76,0,True,0.312567,0.279577,0.635578,0.323012,0.070700,0.227786,0.356652,0.285952,226,258,33
77,0,True,0.396477,0.278272,0.621881,0.225404,0.145191,0.228847,0.305801,0.160611,140,172,33
78,0,True,0.286670,0.268051,0.636606,0.349936,0.057123,0.203973,0.346983,0.289860,165,198,34
79,0,True,0.362073,0.278721,0.644910,0.282837,0.085686,0.236302,0.323528,0.237842,108,140,33
80,0,True,0.378515,0.278568,0.633600,0.255085,0.149981,0.228437,0.354961,0.204980,125,157,33
81,0,True,0.369808,0.268360,0.620055,0.250247,0.085171,0.221731,0.361510,0.276338,157,190,34
82,0,True,0.300211,0.277760,0.630996,0.330785,0.066117,0.228113,0.332812,0.266696,113,145,33
83,0,True,0.435114,0.304722,0.632465,0.197351,0.139201,0.235467,0.372025,0.232824,99,128,30
84,0,True,0.300691,0.260216,0.640645,0.339953,0.059752,0.200686,0.348209,0.288457,135,169,35
85,0,True,0.287898,0.271481,0.629782,0.341884,0.054144,0.226984,0.358428,0.304284,146,179,34
86,0,True,0.347519,0.270731,0.632538,0.285019,0.092709,0.226840,0.345331,0.252623,166,199,34
87,0,True,0.280824,0.287093,0.620496,0.339672,0.054120,0.233374,0.283593,0.229473,216,247,32
88,0,True,0.318357,0.279531,0.545833,0.227476,0.070495,0.214201,0.295408,0.224913,129,161,33
89,0,True,0.369704,0.271234,0.626179,0.256474,0.109853,0.230164,0.331608,0.221755,105,138,34
90,0,True,0.297285,0.268050,0.625159,0.327874,0.061024,0.205407,0.317832,0.256808,173,206,34
91,0,True,0.262522,0.288371,0.547603,0.285081,0.048489,0.231691,0.289474,0.240985,105,136,32
92,0,True,0.296092,0.278650,0.626225,0.330133,0.054854,0.221369,0.307126,0.252272,163,195,33
93,0,True,0.319879,0.279055,0.635498,0.315619,0.073507,0.225933,0.320784,0.247277,203,235,33
94,0,True,0.281239,0.268395,0.638705,0.357465,0.059450,0.211208,0.350837,0.291386,174,207,34
95,0,True,0.307284,0.279060,0.614972,0.307688,0.062606,0.222410,0.304322,0.241716,176,208,33
96,0,True,0.430778,0.280910,0.617271,0.186493,0.128158,0.237807,0.303319,0.175161,79,111,33
97,0,True,0.274629,0.271145,0.628046,0.353417,0.053701,0.218319,0.361225,0.307524,149,182,34
98,0,True,0.307349,0.280146,0.640630,0.333282,0.057763,0.228740,0.358811,0.301048,230,262,33
99,0,True,0.266643,0.269374,0.629710,0.363067,0.052935,0.217116,0.348995,0.296060,156,189,34
100,0,False,0.295071,0.285849,0.648826,0.353755,0.058244,0.228963,0.327733,0.269489,259,290,32
101,0,True,0.325031,0.284796,0.635782,0.310751,0.072487,0.231955,0.352424,0.279937,193,224,32
102,0,True,0.268409,0.266614,0.623900,0.355490,0.055518,0.202236,0.301852,0.246334,196,229,34
103,0,True,0.351308,0.271489,0.639353,0.288045,0.065094,0.226675,0.345060,0.279966,131,164,34
104,0,True,0.308639,0.259416,0.637394,0.328755,0.060426,0.208414,0.349600,0.289174,164,198,35
105,0,True,0.276504,0.280923,0.637732,0.361229,0.051423,0.233284,0.357931,0.306508,83,115,33
106,0,True,0.268420,0.261512,0.615872,0.347451,0.053049,0.208709,0.331313,0.278264,179,213,35
107,0,True,0.280326,0.259251,0.625742,0.345415,0.060888,0.200339,0.323581,0.262693,304,338,35
108,0,True,0.351439,0.261833,0.635894,0.284455,0.097025,0.203513,0.395701,0.298677,223,257,35
109,0,True,0.280039,0.278920,0.644698,0.364659,0.056394,0.232166,0.334737,0.278343,148,180,33
110,0,True,0.264217,0.270711,0.635243,0.371026,0.054878,0.223878,0.335495,0.280616,170,203,34
111,0,True,0.301189,0.267745,0.634075,0.332886,0.059688,0.207442,0.327793,0.268105,205,238,34
112,0,True,0.364714,0.261026,0.636068,0.271355,0.070642,0.203571,0.355221,0.284578,141,175,35
113,0,True,0.299795,0.273593,0.626042,0.326248,0.058677,0.228121,0.366106,0.307429,83,116,34
114,0,True,0.365325,0.280245,0.649297,0.283972,0.091852,0.213934,0.353087,0.261235,192,224,33
115,0,True,0.299449,0.285337,0.640314,0.340865,0.062708,0.231908,0.337641,0.274934,316,347,32
116,0,True,0.276511,0.262746,0.621895,0.345384,0.053900,0.198767,0.337792,0.283892,148,182,35
117,0,True,0.298130,0.281033,0.634154,0.336024,0.096144,0.237498,0.370233,0.274089,81,113,33
118,0,True,0.311763,0.279245,0.649186,0.337422,0.063794,0.233915,0.369981,0.306187,174,206,33
119,0,False,0.726347,0.268413,0.655689,-0.070657,0.197927,0.198187,0.295753,0.097826,386,419,34
