step,gsm8k,algebra,counting_and_probability,geometry,intermediate_algebra,number_theory,prealgebra,precalculus,omni-math,net_pos,net_neg
25,0.8586,0.5263,0.7714,0.0303,0.0417,0.619,0.6774,-0.1892,-0.3651,3,2
50,0.8788,0.5263,0.7143,0.0303,0.125,0.7619,0.6129,-0.2973,-0.5556,4,4
