step,wellformed_rate,correctness_mean
1,0.6953,0.6836
2,0.6484,0.6328
3,0.6582,0.539
4,0.7109,0.5624
5,0.6504,0.6132
6,0.6797,0.4686
7,0.6934,0.5897
8,0.7168,0.6366
9,0.6836,0.5233
10,0.6973,0.5154
11,0.625,0.5896
12,0.7051,0.6697
13,0.6621,0.8065
14,0.668,0.6052
15,0.6836,0.6228
16,0.6641,0.613
17,0.7246,0.6383
18,0.6348,0.5993
19,0.6914,0.6187
20,0.7109,0.6207
21,0.6934,0.6012
22,0.7168,0.6089
23,0.6562,0.6129
24,0.748,0.5463
25,0.7109,0.597
26,0.707,0.5874
27,0.7324,0.6264
28,0.7188,0.6419
29,0.6953,0.6028
30,0.7383,0.6147
31,0.6953,0.5873
32,0.7031,0.6518
33,0.6777,0.5285
34,0.7598,0.6595
35,0.7109,0.5734
36,0.6934,0.5324
37,0.7031,0.5772
38,0.7305,0.6945
39,0.7441,0.5321
40,0.7461,0.6006
41,0.8105,0.6241
42,0.8203,0.6064
43,0.7617,0.7238
44,0.7891,0.7865
45,0.7988,0.6101
46,0.8066,0.6143
47,0.7754,0.6396
48,0.7793,0.7217
49,0.8027,0.667
50,0.7812,0.5417
51,0.75,0.6297
52,0.7949,0.5788
53,0.7227,0.5631
54,0.7168,0.7019
55,0.7051,0.5237
56,0.7402,0.8271
57,0.7168,0.6744
