sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
59,0,True,0.101047,1.126280,1.244045,1.142999,3.413755,4.721675,5.213830,1.800074,87,116,30
60,0,True,0.019791,1.331825,1.357342,1.337551,3.376921,5.254906,5.525844,2.148922,138,172,35
61,0,True,0.068607,1.044960,1.738226,1.669619,3.580095,4.029458,7.226083,3.645988,155,190,36
62,0,False,0.339106,1.188495,1.556772,1.217666,4.625237,5.437037,7.736950,3.111713,214,247,34
63,0,True,0.021755,0.976074,1.494969,1.473214,3.728954,4.753018,6.392715,2.663762,182,212,31
64,0,True,0.220449,1.157866,1.281640,1.061192,2.909211,4.905738,7.229021,4.319810,199,233,35
65,0,True,0.027142,1.223958,2.121843,2.094700,3.284498,3.944831,5.206952,1.922454,135,168,34
66,0,True,0.385736,1.082191,1.517926,1.132190,3.307173,3.759996,5.795246,2.488073,161,195,35
67,0,True,0.053574,1.192926,2.450160,2.396585,3.193901,5.212383,6.591621,3.397720,144,177,34
68,0,True,0.062945,1.275796,1.610988,1.548043,3.078226,5.552504,5.637655,2.559429,113,142,30
69,0,True,0.482421,1.207748,1.901214,1.418793,7.323587,5.240163,7.168615,-0.154972,125,154,30
70,0,True,0.140137,0.936442,1.006144,0.866007,3.880520,4.602378,4.844325,0.963805,166,198,33
71,0,True,0.031190,1.355706,1.059710,1.028520,3.192261,4.017598,5.428333,2.236072,102,135,34
72,0,True,0.315748,0.004025,0.511629,0.195880,4.143986,7.750443,7.038205,2.894219,120,120,1
73,0,True,0.009009,1.147158,2.002833,1.993824,4.336814,5.071730,5.236336,0.899522,187,222,36
74,0,True,0.552563,1.258730,1.564457,1.011894,5.367893,5.379308,5.337366,-0.030528,293,323,31
75,0,True,0.144504,1.077811,1.136985,0.992480,3.289351,5.140187,5.423486,2.134135,161,193,33
76,0,True,0.008647,1.180395,1.141671,1.133024,3.813179,4.518284,5.892908,2.079729,256,287,32
77,0,True,0.678349,1.187452,2.020429,1.342080,7.223216,5.122701,5.324006,-1.899210,152,187,36
78,0,True,0.019824,1.172388,2.400623,2.380799,3.783220,4.687125,6.764169,2.980949,173,206,34
79,0,True,0.614540,1.347916,1.157023,0.542483,5.667530,4.039454,4.964727,-0.702803,111,144,34
80,0,True,0.093984,1.170086,1.841355,1.747371,3.217189,4.329903,5.042515,1.825326,127,162,36
81,0,True,0.319315,1.143934,1.610059,1.290744,5.784780,4.897050,6.241465,0.456686,161,194,34
82,0,True,0.404329,1.494788,1.418313,1.013985,4.420671,4.668899,5.438597,1.017926,115,146,32
83,0,True,0.105855,0.865318,1.032325,0.926470,3.534706,3.884441,5.573296,2.038589,91,123,33
84,0,True,0.042056,1.430958,1.831770,1.789714,3.411890,4.560324,4.732042,1.320152,127,158,32
